,0,1,2,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,target
60,-705.5750990584546,-166.6499066357643,-386.784271056769,D,E,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.53
61,1730.2307577776508,-235.00351613116942,-413.87413793224414,C,G,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22.209991
62,780.5816804232402,960.4162116116792,110.82633871784873,E,F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,21.36
63,-173.61873844467263,-586.1497560657133,-219.71159404840182,E,L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.71
64,2641.7866207266293,-999.2597543476845,-12.12525876190593,C,A,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,19.76
65,2284.925346961282,-656.2659465562691,-461.69312826579664,C,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,22.600006
66,1828.3927668560527,920.3547666229997,-69.46378203015969,E,F,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.62
67,-1460.1376889868618,-185.64558463889938,647.9997225979621,B,J,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,19.5
68,1677.0089538727352,-50.121269647964674,-604.2070550845232,A,A,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.950012
69,-2594.9058066685784,73.19388724763562,75.98808023535976,B,B,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.421799
70,2079.6514924651397,3719.7655193847595,1163.9329619432494,C,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,23.75
71,2870.3868890450663,435.4182535013092,188.43237504321723,A,A,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.34
72,-1540.9912372838332,-331.81558859051165,-362.3588138733095,D,F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.093704000000002
73,-2900.512595400598,212.48745102761282,265.1939512849375,B,K,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,19.734402
74,1780.211900742682,767.9461506067803,-616.7861878684125,D,E,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.589996
75,-2775.8087893756915,118.89598010727553,-13.519470952874597,B,E,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.7969
76,1655.9263850119999,-436.02999187432977,-330.84079261960545,A,G,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.030014
77,-1826.1874785979528,-211.27840026161365,-232.21306409883093,C,D,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,21.2812
78,-2743.620482510593,83.12130387565644,-167.83305650742352,D,G,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.25
79,-2812.2599727878496,153.99423825142208,131.15041243614925,B,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.0468
80,-3164.165709310909,301.37193064194184,198.12607434632065,C,I,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.25
81,2831.682689687147,-1144.896923804581,56.00253610005743,C,L,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.54999
82,1427.124190564446,1235.1037436086863,-687.4885656109464,D,E,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,19.81
83,1933.2959196084837,-244.44550755433568,487.58902646061904,E,G,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.92999
84,-469.40800203172927,-323.3241722039981,351.5157768087561,A,H,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,20.15
85,-1448.0079158929034,-158.94984489415253,749.1719694317393,D,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,22.593704000000002
86,-2195.7233203258234,-98.35298979086296,-193.82596583942166,E,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,20.093697
87,-1616.923451400783,-196.1450043537339,79.37852291149919,E,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,20.8125
88,1230.6468606865444,482.67252074080767,-95.09553701252209,D,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.18
89,1524.2990926071998,2168.418837303561,722.5625656642518,B,I,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.07
90,-1739.0369715526137,-218.46774810084278,12.888818066522957,B,I,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.343795999999998
91,123.64608442984168,-336.7064847943054,-151.44387480957712,D,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.83
92,-2285.208597916865,-44.54266799912069,-7.7432871496334865,E,E,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.625
93,-1391.2055827248296,-383.7256121539018,-350.6869037314289,E,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,17.99
94,-158.9214448052537,-14.246220760395403,254.33827407540613,B,E,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,20.64
95,-1460.2135607945747,-206.6985682047123,370.54450853943393,E,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,18.9375
96,2561.4089615303706,543.8703491821827,575.5509995290438,B,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.73
97,-1541.3951005215242,-74.76654386968289,-45.301277144136826,D,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,20.5938
98,2602.07154070247,-1164.100157705702,179.79086851116924,B,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.559998
99,-1523.6747673612142,-323.5328269565764,-78.94539462257525,B,H,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.75
100,2539.8416330573546,458.21702377763506,340.91474984461644,D,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17.79999
101,1747.4626437055645,1229.3640476090425,-441.88032594612093,D,H,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.65
102,-2365.475510528895,-29.375558321822748,-8.546902247818016,B,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.515601999999998
103,-2898.9396525227558,203.12573949415173,228.35493585225984,E,K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,20.1406
104,1979.8480416442405,-916.8665456829524,-115.7919759448897,A,F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.819992000000003
105,1375.3378797954012,1858.8110670034525,99.30992406636499,E,F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.450004
